stop_loss_pct,take_profit_pct,enable_trend_break_exit,market_open_delay_minutes,momentum_lookback_minutes,trade_count,total_pnl,return_pct,win_rate,avg_win,avg_loss,profit_factor,expectancy,max_drawdown_pct,sharpe,sortino,avg_bars_held,avg_mfe,avg_mae,exit_reasons
0.025,0.06,False,5,5,496,62.42397475359791,62.4239747535978,44.354838709677416,1.8936829490418199,-1.28328360157827,1.1762461713785188,0.1258547878096732,-28.991260780845714,1.9751800679073552,3.383193532511266,200.10282258064515,0.02180690776394965,-0.016615893008877922,"{'eod': 270, 'stop': 175, 'take_profit': 51}"
0.025,0.06,False,5,10,488,24.577848630677124,24.577848630677135,43.23770491803279,1.6985537762568739,-1.2051155168213838,1.073626713936634,0.05036444391532197,-23.24892225400798,0.9286246960150999,1.5588322911309356,198.5983606557377,0.02187444136805839,-0.016877833457616908,"{'eod': 264, 'stop': 171, 'take_profit': 53}"
0.025,0.035,False,5,10,606,21.789765385442315,21.789765385442283,47.194719471947195,1.368820520794229,-1.1552903236303351,1.0589401775785108,0.035956708556835505,-29.64908150100233,0.8738681656292134,1.4108637590606468,157.6204620462046,0.018707073739527392,-0.016215643889818093,"{'eod': 260, 'stop': 203, 'take_profit': 143}"
0.015,0.06,True,5,20,1855,18.97147340131053,18.971473401310355,16.819407008086255,1.440753341333335,-0.27903018087795856,1.0440640036528757,0.010227209380760393,-28.38300483240865,0.8942188671456871,1.6018692245703197,42.34824797843666,0.00986462605632769,-0.004965530613348575,"{'trend_break': 1464, 'eod': 223, 'stop': 112, 'take_profit': 56}"
0.025,0.035,False,30,20,503,18.49872750321411,18.498727503214106,47.31610337972167,1.3089560529033604,-1.1057842003312663,1.0631285189814985,0.036776794240982326,-24.286143125704974,0.9309235089269889,1.676357248853732,171.7952286282306,0.017056302394937894,-0.015473884157775186,"{'stop': 150, 'eod': 255, 'take_profit': 98}"
0.015,0.06,False,5,10,677,16.839898002332347,16.839898002332365,36.484490398818316,1.544959898286642,-0.848291155522019,1.0461664055305357,0.02487429542442001,-25.242783262818207,0.7237945142007074,1.2449442972469256,142.9423929098966,0.018959306124779963,-0.012228735329718783,"{'stop': 354, 'eod': 266, 'take_profit': 57}"
0.01,0.06,False,5,5,889,14.84326994065902,14.843269940658965,29.92125984251969,1.5494065663330847,-0.6377189032165994,1.0373604628933295,0.016696591609290237,-31.78331505989477,0.7031134540374403,1.2934702804508356,105.86389201349832,0.016081343424448374,-0.009356868704153169,"{'stop': 572, 'eod': 266, 'take_profit': 51}"
0.01,0.06,True,5,20,1874,13.27779133754952,13.277791337549672,16.061899679829242,1.3410576224086395,-0.2481758124650038,1.0340124302690255,0.0070852675227051866,-36.34033888116747,0.6840891558953258,1.198360237817256,41.22145144076841,0.009563181178669646,-0.004726370906568357,"{'trend_break': 1360, 'stop': 242, 'eod': 219, 'take_profit': 53}"
0.015,0.02,False,5,10,1148,12.89760679129245,12.89760679129257,45.90592334494774,1.1063595459244793,-0.9181221802108024,1.0226212736271045,0.011234849121334886,-33.05542814820523,0.46176368146109154,0.6408681901651264,82.67595818815332,0.012451035700706098,-0.01117054257574098,"{'take_profit': 390, 'stop': 504, 'eod': 254}"
0.025,0.06,False,30,10,418,12.83180581640045,12.831805816400532,44.01913875598086,1.7053942853130457,-1.2861570200051278,1.0426361448409665,0.030698100039235527,-22.022316297227906,0.7134718288228581,1.2499841772829348,202.22488038277513,0.020630788581941763,-0.016475841070852936,"{'stop': 135, 'eod': 245, 'take_profit': 38}"
