fold,train_start,test_start,test_end,params,is_trade_count,oos_trade_count,is_expectancy,oos_expectancy,is_total_pnl,oos_total_pnl,is_win_rate,oos_win_rate,is_profit_factor,oos_profit_factor,is_sharpe,oos_sharpe
0,2026-01-01,2026-02-12,2026-02-26,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.012), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(5), 'momentum_lookback_minutes': np.int64(10)}",214,55,0.1788703649989448,-0.15878732416796892,38.278258109774185,-8.73330282923829,67.7570093457944,52.72727272727272,1.5363040106312011,0.722739573694543,7.735743811853545,-11.088398619242051
1,2026-01-15,2026-02-26,2026-03-12,"{'stop_loss_pct': np.float64(0.01), 'take_profit_pct': np.float64(0.035), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(5), 'momentum_lookback_minutes': np.int64(20)}",183,81,0.1382685939474143,-0.14400981335978064,25.30315269237682,-11.664794882142232,37.704918032786885,24.691358024691358,1.3827739559314165,0.6730557199110035,5.566322580111332,-9.856810699284251
2,2026-01-29,2026-03-12,2026-03-26,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.06), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(5), 'momentum_lookback_minutes': np.int64(5)}",252,94,0.11592282223850095,-0.14940263417142893,29.21255120410224,-14.04384761211432,20.634920634920633,8.51063829787234,1.3382526450627497,0.5008778918510479,3.8964288292169975,-5.317178823747945
3,2026-02-12,2026-03-26,2026-04-09,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.06), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(30), 'momentum_lookback_minutes': np.int64(10)}",63,27,0.3837131143192602,-0.1472151783552378,24.173926202113392,-3.9748098155914207,44.44444444444444,44.44444444444444,1.4634241337574754,0.8239361523703728,3.3828379237964032,-2.1810185262507034
4,2026-02-26,2026-04-09,2026-04-23,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.06), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(30), 'momentum_lookback_minutes': np.int64(10)}",83,20,0.26997568516238046,-0.033574641911875244,22.407981868477577,-0.6714928382375049,45.78313253012048,60.0,1.347612337869116,0.9308703750765299,3.6605325151770804,0.3209503364181224
5,2026-03-12,2026-04-23,2026-05-07,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(5), 'momentum_lookback_minutes': np.int64(10)}",89,23,0.2367411922063489,-0.09152405676979831,21.06996610636505,-2.1050533057053613,43.82022471910113,39.130434782608695,1.4674816766359418,0.7998185913035378,4.647502297882445,-3.7846891740276765
6,2026-03-26,2026-05-07,2026-05-21,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.035), 'enable_trend_break_exit': np.True_, 'market_open_delay_minutes': np.int64(30), 'momentum_lookback_minutes': np.int64(5)}",310,92,0.0888493388915362,-0.10493391124223188,27.543295056376223,-9.653919834285333,18.70967741935484,11.956521739130435,1.5312988833017984,0.604277318421411,6.343137510686026,-8.106264131017157
7,2026-04-09,2026-05-21,2026-06-04,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.035), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(30), 'momentum_lookback_minutes': np.int64(5)}",65,16,0.31002279414665324,-0.14526931472390636,20.15148161953246,-2.324309035582502,56.92307692307692,50.0,1.6416999049446854,0.7307833463656698,4.7358983481015615,5.127860599287601
8,2026-04-23,2026-06-04,2026-06-18,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.06), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(5), 'momentum_lookback_minutes': np.int64(5)}",64,46,0.14713734227785275,0.3242060514981847,9.416789905782576,14.913478368916497,45.3125,45.65217391304348,1.2611430737349612,1.447512647726408,1.2602989821309567,4.014818566721131
9,2026-05-07,2026-06-18,2026-07-02,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.02), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(5), 'momentum_lookback_minutes': np.int64(5)}",150,32,0.13332729624773335,-0.3996573840039851,19.999094437160004,-12.789036288127523,60.0,43.75,1.2678164884874064,0.5754365404037503,3.787846595847451,-8.469502992227579
10,2026-05-21,2026-07-02,2026-07-16,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.06), 'enable_trend_break_exit': np.False_, 'market_open_delay_minutes': np.int64(30), 'momentum_lookback_minutes': np.int64(20)}",81,19,0.31229141332218036,-0.12552408051440567,25.29560447909661,-2.3849575297737076,48.148148148148145,36.84210526315789,1.5073649099153872,0.8464523422349571,4.128085144383717,-3.9317594098702617
11,2026-06-04,2026-07-16,2026-07-30,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.06), 'enable_trend_break_exit': np.True_, 'market_open_delay_minutes': np.int64(30), 'momentum_lookback_minutes': np.int64(20)}",432,115,0.08985667177013121,-0.0527812963748903,38.81808220469668,-6.069849083112384,14.814814814814813,13.043478260869565,1.4679849356592756,0.7026168065964924,4.537821484317329,-6.724897398144424
12,2026-06-18,2026-07-30,2026-08-13,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.06), 'enable_trend_break_exit': np.True_, 'market_open_delay_minutes': np.int64(5), 'momentum_lookback_minutes': np.int64(10)}",323,139,0.1565902177913716,0.021936481582735142,50.57864034661303,3.0491709400001845,18.575851393188856,17.985611510791365,1.7081944595110685,1.1643013788892511,7.876174239662231,1.49661702880885
13,2026-07-02,2026-08-13,2026-08-27,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.035), 'enable_trend_break_exit': np.True_, 'market_open_delay_minutes': np.int64(5), 'momentum_lookback_minutes': np.int64(20)}",464,171,0.09569372533423365,0.02052721045643987,44.40188855508441,3.5101529880512174,21.336206896551722,12.280701754385964,1.348410721931088,1.1623830752531576,6.325376900344987,1.237484576092034
