entry_ts,exit_ts,symbol,qty,entry_price,exit_price,pnl,hold_sec,hold_min,exit_reason,trailed,entry_score,era,symbol_resolved
2026-03-19 13:40:12,2026-03-19 13:43:43,QQQ,1.41351,589.51,589.333135,-0.25,210.6,3.51,time_stop,0,-0.000495,legacy,inferred_single_open
,2026-03-19 13:50:07,?,0.0,0.0,0.0,-0.3,nan,nan,time_stop,0,,unknown,unknown
2026-03-19 13:51:06,2026-03-19 13:54:36,QQQ,1.412552,589.91,590.532986,0.88,210.7,3.51,time_stop,0,0.0001,legacy,inferred_single_open
2026-03-19 14:01:40,2026-03-19 14:05:12,IWM,3.404077,244.79,244.657806,-0.45,212.7,3.55,time_stop,0,0.000201,legacy,inferred_single_open
2026-03-19 14:06:14,2026-03-19 14:09:46,IWM,3.40519,244.708253,245.131137,1.44,212.8,3.55,time_stop,0,-0.00085,legacy,inferred_single_open
2026-03-19 14:10:48,2026-03-19 14:14:21,IWM,3.397969,245.221772,245.933962,2.42,212.9,3.55,time_stop,0,0.001282,legacy,inferred_single_open
2026-03-19 14:20:40,2026-03-19 14:24:13,QQQ,1.409016,591.42,591.058045,-0.51,212.8,3.55,time_stop,0,0.001245,legacy,inferred_single_open
2026-03-19 14:25:13,2026-03-19 14:28:46,SPY,1.266511,657.92,657.659442,-0.33,213.1,3.55,time_stop,0,-9.5e-05,legacy,inferred_single_open
2026-03-19 14:29:47,2026-03-19 14:33:20,QQQ,1.410304,590.84,590.336562,-0.71,213.0,3.55,time_stop,0,-2.6e-05,legacy,inferred_single_open
2026-03-19 14:34:51,2026-03-19 15:15:49,SPY,1.268284,657.04,656.598459,-0.56,2458.1,40.97,time_stop,0,-0.000292,legacy,inferred_fifo
2026-03-19 15:16:50,2026-03-19 15:22:24,IWM,3.344639,249.110929,248.749156,-1.21,333.9,5.57,time_stop,0,0.001124,legacy,inferred_fifo
2026-03-19 15:23:54,2026-03-19 15:35:33,QQQ,1.401739,594.5,594.371588,-0.18,699.0,11.65,shutdown_flat,0,0.000145,legacy,inferred_fifo
2026-03-19 15:36:18,2026-03-19 15:40:07,SPY,1.264224,659.14,659.693699,0.7,229.0,3.82,time_stop,0,-0.000732,legacy,inferred_fifo
2026-03-19 15:36:34,2026-03-19 15:40:16,QQQ,1.406116,592.6,593.382297,1.1,222.1,3.7,unattributed_market_exit,0,-0.000795,legacy,inferred_single_open
2026-03-19 15:41:17,2026-03-19 15:44:50,SPY,1.26206,660.28,660.88219,0.76,213.3,3.55,time_stop,0,7.5e-05,legacy,inferred_single_open
,2026-03-19 15:49:25,?,0.0,0.0,0.0,0.96,nan,nan,time_stop,0,,unknown,unknown
2026-03-19 15:50:25,2026-03-19 15:53:59,IWM,3.362727,247.815948,247.928952,0.38,213.5,3.56,time_stop,0,0.000573,legacy,inferred_single_open
2026-03-20 11:11:06,2026-03-20 11:51:59,SPY,1.276972,652.55,652.01749,-0.68,2452.1,40.87,trend_break,1,0.000139,legacy,inferred_fifo
2026-03-20 11:54:00,2026-03-20 14:03:50,QQQ,1.420159,586.74,586.458341,-0.4,7790.5,129.84,trend_break,6,0.000689,legacy,inferred_fifo
2026-03-20 13:58:38,2026-03-20 14:40:43,IWM,3.42169,243.53,243.448169,-0.28,2525.1,42.09,trend_break,4,0.001847,legacy,inferred_fifo
2026-03-20 14:39:38,2026-03-20 14:42:33,SPY,1.285106,648.45,647.827483,-0.8,175.5,2.93,trend_break,2,-0.001216,legacy,inferred_fifo
2026-03-20 14:41:44,2026-03-20 14:45:12,IWM,3.444605,241.905806,241.917418,0.04,207.9,3.46,trend_break,2,-0.000612,legacy,inferred_fifo
2026-03-20 14:44:07,2026-03-20 14:47:18,QQQ,1.432907,581.53,581.774259,0.35,190.8,3.18,trend_break,2,-0.000993,legacy,inferred_fifo
2026-03-20 14:48:18,2026-03-20 14:49:23,IWM,3.448169,241.66,241.590398,-0.24,65.0,1.08,trend_break,1,-1.2e-05,legacy,inferred_single_open
2026-03-20 14:50:24,2026-03-20 14:51:29,IWM,3.449311,241.578404,241.581303,0.01,64.9,1.08,trend_break,1,-0.000151,legacy,inferred_single_open
2026-03-20 14:52:30,2026-03-20 14:53:35,IWM,3.447456,241.72,241.807021,0.3,65.0,1.08,trend_break,1,-0.000299,legacy,inferred_single_open
2026-03-20 14:54:36,2026-03-20 14:55:41,IWM,3.447456,241.72,241.627178,-0.32,64.8,1.08,trend_break,1,-9.4e-05,legacy,inferred_single_open
